t,q[shoulder_pan],q[shoulder_lift],q[elbow_flex],q[wrist_flex],q[wrist_roll],qd[shoulder_pan],qd[shoulder_lift],qd[elbow_flex],qd[wrist_flex],qd[wrist_roll],qref[shoulder_pan],qref[shoulder_lift],qref[elbow_flex],qref[wrist_flex],qref[wrist_roll],tau_pid[shoulder_pan],tau_pid[shoulder_lift],tau_pid[elbow_flex],tau_pid[wrist_flex],tau_pid[wrist_roll],tau_dist[shoulder_pan],tau_dist[shoulder_lift],tau_dist[elbow_flex],tau_dist[wrist_flex],tau_dist[wrist_roll],tau_total[shoulder_pan],tau_total[shoulder_lift],tau_total[elbow_flex],tau_total[wrist_flex],tau_total[wrist_roll]
0.0,-0.07679999999991757,-1.6100000000006538,1.5699999999993148,0.9620000000002584,0.0,0.0,0.0,0.0,0.0,0.0,-0.07679999999991757,-1.6100000000006538,1.5699999999993148,0.9620000000002584,0.0,0.0,0.0,0.0,0.0,0.0,0.0005927490823580752,0.514830225473958,0.7865927366916465,0.6896653687453458,0.26602296743623904,0.0005927490823580752,0.514830225473958,0.7865927366916465,0.6896653687453458,0.26602296743623904
0.002,-0.07638388760218785,-1.6094871394354158,1.5697537979803637,0.961665781111223,3.010403362472005e-05,0.20805619886485682,0.2564302826189986,-0.12310100947551689,-0.1671094445177016,0.015052016812360024,-0.07672319999991765,-1.6083900000006532,1.5684299999993154,0.9610380000002582,0.0,-0.4818240798136755,0.8118847177194798,-0.5043688840965809,-0.232279889950547,-0.01694861307636446,0.008273717130251865,0.5176922599128168,0.7862144407602676,0.6880931894782979,0.2620053072823211,-0.4735503626834236,1.3295769776322965,0.2818455566636867,0.4558132995277509,0.2450566942059566
0.004,-0.07562737391475542,-1.608372965139407,1.569209253976735,0.9609804205498897,7.632603190643774e-05,0.3782568437162128,0.5570871480044208,-0.272272001814351,-0.34268028066664324,0.023110999140858842,-0.07664639999991774,-1.6067800000006525,1.5668599999993162,0.960076000000258,0.0,-0.9889472056691295,0.41080036449097007,-0.431741614302398,-0.11491435960839654,-0.026414486471820167,0.011428095665003808,0.521460074330065,0.7884253187825894,0.6828470769371872,0.2563554337339238,-0.9775191100041257,0.9322604388210352,0.3566837044801914,0.5679327173287906,0.22994094726210362
0.006,-0.07460700322691963,-1.606733407922873,1.5683876578426283,0.9599734337840864,0.00012646370838128402,0.5101853439178946,0.8197786082670243,-0.41079806705336314,-0.5034933829016844,0.02506883823742314,-0.07656959999991782,-1.605170000000652,1.5652899999993168,0.9591140000002576,0.0,-1.4112068519976648,0.041852220232946796,-0.35797822519882405,-0.0014466559351477767,-0.02922007632140563,0.013884494112358058,0.5216114089936074,0.7887478512946985,0.6777473943211322,0.2521486736135192,-1.3973223578853067,0.5634636292265541,0.43076962609587444,0.6763007383859844,0.2229285972921136
0.008,-0.07338579908760533,-1.6046377343856781,1.567309187392581,0.9586725755350873,0.00017169540932462346,0.6106020696571502,1.047836768597407,-0.5392352250236327,-0.6504291244995165,0.022615850471669714,-0.0764927999999179,-1.6035600000006511,1.5637199999993177,0.9581520000002574,0.0,-1.76244465104693,-0.29685463688914737,-0.2833146555304067,0.10818479935761606,-0.027110042264913328,0.01854840219868944,0.5204315146896559,0.7884403830220564,0.6750590927254235,0.24761408641101176,-1.7438962488482406,0.2235768778005085,0.5051257274916497,0.7832438920830396,0.22050404414609842
0.01,-0.07201514692314201,-1.602148769013236,1.5659930572091962,0.9571042111940578,0.00020836968621825748,0.6853260822316612,1.2444826862209721,-0.6580650916924716,-0.7841821705148051,0.018337138446817003,-0.07641599999991798,-1.6019500000006506,1.5621499999993183,0.9571900000002571,0.0,-2.0547752977048503,-0.6073172581833611,-0.20800909345748447,0.21393933849321456,-0.0228805163547533,0.02263735656007366,0.5223220421551585,0.787574020555366,0.6745455710746496,0.24124071557958604,-2.032137941144777,-0.08499521602820259,0.5795649270978815,0.8884849095678642,0.21836019922483274
0.012,-0.07053711185535905,-1.5993228329603346,1.564457527620581,0.955293328655976,0.0002377009254547465,0.739017533891482,1.4129680264507583,-0.7677647943076724,-0.9054412690408332,0.01466561961824452,-0.07633919999991806,-1.6003400000006498,1.5605799999993188,0.9562280000002569,0.0,-2.2978367948545855,-0.8918356006547117,-0.1322933129184183,0.31579966676296845,-0.019223484534693542,0.029435409064853753,0.5249898126129342,0.7880721289970981,0.6721024887549585,0.23659913864930848,-2.2684013857897316,-0.3668457880417775,0.6557788160786798,0.9879021555179269,0.21737565411461493
0.014,-0.0689856006675205,-1.5962105854091855,1.5627202023099565,0.9532630481392664,0.00026077235591404703,0.7757555939192692,1.5561237755745918,-0.8686626553122921,-1.0151402583548077,0.01153571522965026,-0.07626239999991814,-1.5987300000006492,1.5590099999993197,0.9552660000002566,0.0,-2.5002695275973865,-1.1523470786545926,-0.05648291986893789,0.4139573737495302,-0.016080883384509054,0.034614517858319836,0.5314987896251981,0.7856922984444586,0.6711167856851029,0.23205718380050575,-2.465655009739067,-0.6208482890293945,0.7292093785755207,1.0850741594346331,0.2159763004159967
0.016,-0.06738830633834657,-1.5928570740431647,1.5607975215951122,0.9510351997979553,0.0002785262950783327,0.7986471645869717,1.6767556830103987,-0.9613403574220994,-1.1139241706556113,0.008876969582142857,-0.07618559999991824,-1.5971200000006485,1.5574399999993203,0.9543040000002564,0.0,-2.668523687653498,-1.3909781718017418,0.019319873237839444,0.5084276555065792,-0.01338745431819972,0.043609002457221165,0.5367804986708787,0.7839953862121172,0.6685335667950507,0.22841132432587202,-2.624914685196277,-0.854197673130863,0.8033152594499566,1.17696122230163,0.2150238700076723
0.018000000000000002,-0.06576707310148419,-1.589302894091318,1.55870527280912,0.9486299699065837,0.0002907857573482269,0.8106166184311878,1.7770899759232628,-1.0461243929961335,-1.2026149456857878,0.006129731134947093,-0.07610879999991832,-1.595510000000648,1.555869999999321,0.953342000000256,0.0,-2.808966018030902,-1.609222069902066,0.09485444112356288,0.5993823926972428,-0.010525272135853291,0.049956264537798126,0.5403836239183947,0.7859889545226444,0.668629044877413,0.22226232786343098,-2.7590097534931037,-1.0688384459836713,0.8808433956462073,1.2680114375746558,0.21173705572757767
0.020000000000000004,-0.06413973575583744,-1.5855846469822144,1.556458907409551,0.9460665446474885,0.00029664371638680895,0.8136686728233758,1.8591235545518852,-1.123182699784513,-1.2817126295475567,0.002928979519291044,-0.0760319999999184,-1.5939000000006474,1.5542999999993217,0.9523800000002558,0.0,-2.9257608282550316,-1.8084106058404181,0.16975956079164262,0.6867881154199147,-0.007081014127336145,0.05401696105906744,0.5443500661941812,0.7842605478178492,0.6646718786256439,0.2170663258906047,-2.8717438671959643,-1.2640605396462368,0.9540201086094917,1.3514599940455585,0.20998531176326857
0.022000000000000006,-0.06252074928243882,-1.5817349223154191,1.5540727380181285,0.9433623022755184,0.0002964905364134502,0.8094932366993088,1.9248623333976234,-1.1930846957112486,-1.352121185985032,-7.65899866793816e-05,-0.07595519999991848,-1.5922900000006466,1.5527299999993223,0.9514180000002556,0.0,-3.022459012088957,-1.9900486600048466,0.24399032924122982,0.7709302303423577,-0.0037733114178659963,0.06127479582006136,0.5454135667024683,0.7832977564834777,0.6631306991218455,0.2083006169669017,-2.9611842162688955,-1.4446350933023782,1.0272880857247075,1.4340609294642033,0.2045273055490357
0.024000000000000007,-0.06092107492142056,-1.5777831234956865,1.5515604656896358,0.9405337682632282,0.00029094830606278294,0.7998371805091345,1.9758994098663523,-1.2561361642463933,-1.4142670061450944,-0.002771115175333627,-0.07587839999991856,-1.590680000000646,1.551159999999323,0.9504560000002553,0.0,-3.1030098059018805,-2.155190575477566,0.31733623874723565,0.8517768758246341,-0.0007376920434161586,0.06604735850686656,0.5515955368904303,0.7852598971539603,0.6596205171483227,0.20277950269174522,-3.036962447395014,-1.603595038587136,1.102596135901196,1.511397392972957,0.20204181064832905
0.02600000000000001,-0.05934952734196846,-1.5737547042247388,1.5489353936578334,0.9375960277575088,0.0002816440749350446,0.785773789726047,2.0142096354738768,-1.3125360159012183,-1.4688702528596833,-0.004652115563869165,-0.07580159999991865,-1.5890700000006452,1.5495899999993237,0.9494940000002551,0.0,-3.1696940142509256,-2.3055831035798984,0.3895242843403186,0.9295306158003624,0.0014519690869286344,0.07403535918055054,0.5543915797847757,0.785208545621224,0.6574384508550541,0.19774712114076684,-3.095658655070375,-1.7511915237951228,1.1747328299615427,1.5869690666554166,0.19919909022769547
